,Time,Position,Momentum
0,0.0,1.0,0.0
1,0.00024975024975024975,0.9999997504992821,-0.0009990007497495575
2,0.002747252747252747,0.999969810865068,-0.010988679244281572
3,0.012747252747252746,0.999350241336273,-0.05095588904839875
4,0.02274725274725275,0.9979323892429551,-0.09080103672330289
5,0.03274725274725275,0.9957196461616861,-0.1304292916356375
6,0.04274725274725275,0.9927172858798707,-0.1697473744624905
7,0.052747252747252754,0.9889324267773865,-0.2086642123566279
8,0.06274725274725275,0.9843739813749982,-0.24709156576882985
9,0.07274725274725274,0.9790525936944084,-0.28494461923669345
10,0.08274725274725274,0.972980565221569,-0.32214252917680386
11,0.09274725274725273,0.9661717703957932,-0.3586089225713215
12,0.10274725274725273,0.9586415626599734,-0.3942723413961506
13,0.11274725274725272,0.9504066722000546,-0.4290666286690336
14,0.12274725274725272,0.9414850965736223,-0.4629312530740096
15,0.13274725274725271,0.9318959854773756,-0.4958115702153244
16,0.14274725274725272,0.9216595209312793,-0.5276590196415014
17,0.15274725274725273,0.9107967941637718,-0.5584312578329842
18,0.16274725274725274,0.8993296804684755,-0.5880922283411121
19,0.17274725274725275,0.8872807132698014,-0.6166121711818746
20,0.18274725274725276,0.874672958584394,-0.6439675744081551
21,0.19274725274725277,0.8615298909995818,-0.6701410714961404
22,0.20274725274725278,0.8478752722111357,-0.6951212887763577
23,0.21274725274725279,0.8337330330730965,-0.7189026476124458
24,0.2227472527472528,0.8191271600146727,-0.7414851263801125
25,0.2327472527472528,0.8040815865756782,-0.7628739875270253
26,0.2427472527472528,0.7886200907050557,-0.7830794751069572
27,0.2527472527472528,0.7727661983589398,-0.8021164881862443
28,0.2627472527472528,0.7565430938275358,-0.8200042354274457
29,0.2727472527472528,0.7399735371156527,-0.8367658759754977
30,0.2827472527472528,0.7230797886016436,-0.8524281515180911
31,0.29274725274725283,0.705883541105131,-0.8670210140774536
32,0.30274725274725284,0.6884058594063045,-0.8805772537282227
33,0.31274725274725285,0.6706671271796125,-0.8931321300383872
34,0.32274725274725286,0.6526870012329122,-0.9047230106093842
35,0.33274725274725286,0.634484372879936,-0.9153890196585501
36,0.3427472527472529,0.6160773362194224,-0.9251706991522408
37,0.3527472527472529,0.5974831630483927,-0.9341096845698871
38,0.3627472527472529,0.578718284099614,-0.9422483969655194
39,0.3727472527472529,0.5597982762639321,-0.9496297526000548
40,0.3827472527472529,0.5407378554364132,-0.9562968910497647
41,0.3927472527472529,0.5215508746105678,-0.9622929223574777
42,0.4027472527472529,0.5022503268367244,-0.9676606934857015
43,0.41274725274725294,0.4828483526582369,-0.9724425740564518
44,0.42274725274725294,0.4633562516419797,-0.9766802611216913
45,0.43274725274725295,0.4437844976268367,-0.9804146025006913
46,0.44274725274725296,0.4241427573249675,-0.9836854380454593
47,0.45274725274725297,0.40443991192490564,-0.9865314580512142
48,0.462747252747253,0.3846840813623986,-0.9889900779139681
49,0.472747252747253,0.3648826509437798,-0.9910973280494636
50,0.482747252747253,0.34504230002704717,-0.9928877580247774
51,0.492747252747253,0.3251690324872367,-0.9943943538134117
52,0.502747252747253,0.30526820871469906,-0.9956484670642766
53,0.512747252747253,0.28534457891713216,-0.9966797552722061
54,0.522747252747253,0.26540231751837223,-0.9975161317502781
55,0.532747252747253,0.2454450584686957,-0.9981837243300241
56,0.542747252747253,0.2254759313025158,-0.9987068417526143
57,0.552747252747253,0.20549759779964352,-0.9991079467604156
58,0.562747252747253,0.1855122891255672,-0.9994076349522928
59,0.572747252747253,0.16552184334434575,-0.9996246185261577
60,0.582747252747253,0.14552774321459713,-0.9997757140972933
61,0.592747252747253,0.1255311541946104,-0.9998758338497653
62,0.602747252747253,0.10553296259675174,-0.9999379793498664
63,0.6127472527472531,0.08553381384402166,-0.999973237424236
64,0.6227472527472531,0.06553415079281764,-0.999990777580459
65,0.6327472527472531,0.04553425209564128,-0.9999978505240772
66,0.6427472527472531,0.02553427058564268,-0.9999997874027013
67,0.6527472527472531,0.00553427167151125,-0.9999999994850131
68,0.6627472527472531,-0.01446572826370729,-0.9999999780597475
69,0.6727472527472531,-0.03446572346276251,-0.9999992944171207
70,0.6827472527472531,-0.054465680394238436,-0.9999955998525741
71,0.6927472527472531,-0.07446549935297025,-0.9999846257101226
72,0.7027472527472531,-0.09446497606244866,-0.9999601835600015
73,0.7127472527472531,-0.1144637632834898,-0.9999141656827092
74,0.7227472527472532,-0.13446133243766423,-0.9998365461088893
75,0.7327472527472532,-0.1544569352597401,-0.9997153825417259
76,0.7427472527472532,-0.174449565500699,-0.9995368195654984
77,0.7527472527472532,-0.19443792071172253,-0.9992850936204548
78,0.7627472527472532,-0.21442036414990934,-0.9989425402999101
79,0.7727472527472532,-0.2343948868583493,-0.9984896046000532
80,0.7827472527472532,-0.25435906998652236,-0.9979048548258027
81,0.7927472527472532,-0.2743100474317662,-0.9971650009265212
82,0.8027472527472532,-0.29424446889871153,-0.9962449181026237
83,0.8127472527472532,-0.3141584634910423,-0.9951176765871084
84,0.8227472527472532,-0.3340476039686043,-0.9937545785635855
85,0.8327472527472533,-0.3539068718226368,-0.9921252032331316
86,0.8427472527472533,-0.3737306233425892,-0.9901974610846629
87,0.8527472527472533,-0.39351255686941666,-0.98793765845577
88,0.8627472527472533,-0.4132456814522137,-0.9853105734911388
89,0.8727472527472533,-0.4329222871472717,-0.9822795446117173
90,0.8827472527472533,-0.4525339172208354,-0.978806572597431
91,0.8927472527472533,-0.4720713425386316,-0.9748524373571658
92,0.9027472527472533,-0.49152453844625343,-0.9703768304095214
